"Fish_ID_comp","Date","Fish_ID_day","Trap","Habitat","PIT_tag","Species","FL","TL","Weight","Diet","Fin.Clip","Pink_Salmon_pres_abs","date","doy","age_cluster"
294,"6/10/2021","25",1,"Seep",NA,"Coho",61,67,2.6,"N","N",0,2021-06-10,161,"age-1"
300,"6/10/2021","31",1,"Seep",NA,"Coho",74,77,4.6,"Y","N",0,2021-06-10,161,"age-1"
303,"6/10/2021","34",1,"Seep",NA,"Coho",55,61,1.7,"N","N",0,2021-06-10,161,"age-1"
305,"6/15/2021","1",1,"Main_Side",NA,"Coho",33,34,0.2,"N","N",0,2021-06-15,166,"age-0"
306,"6/15/2021","2",1,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-15,166,"age-0"
307,"6/15/2021","3",1,"Main_Side",NA,"Coho",36,38,0.3,"N","N",0,2021-06-15,166,"age-0"
308,"6/15/2021","4",1,"Main_Side",NA,"Coho",38,39,0.4,"N","N",0,2021-06-15,166,"age-0"
309,"6/15/2021","5",1,"Main_Side",NA,"Coho",33,35,0.3,"N","N",0,2021-06-15,166,"age-0"
310,"6/15/2021","6",1,"Main_Side",NA,"Coho",35,36,0.4,"N","N",0,2021-06-15,166,"age-0"
311,"6/15/2021","7",1,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-15,166,"age-0"
312,"6/15/2021","8",1,"Main_Side",NA,"Coho",37,38,0.4,"N","N",0,2021-06-15,166,"age-0"
313,"6/15/2021","9",1,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-15,166,"age-0"
314,"6/15/2021","10",1,"Main_Side",NA,"Coho",32,33,0.2,"N","N",0,2021-06-15,166,"age-0"
315,"6/15/2021","11",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-15,166,"age-0"
316,"6/15/2021","12",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-15,166,"age-0"
317,"6/15/2021","13",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-15,166,"age-0"
318,"6/15/2021","14",1,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-15,166,"age-0"
324,"6/15/2021","20",4,"Main_Side",NA,"Coho",55,60,2.2,"Y","N",0,2021-06-15,166,"age-1"
326,"6/15/2021","22",4,"Main_Side",NA,"Coho",61,66,2.6,"Y","N",0,2021-06-15,166,"age-1"
327,"6/15/2021","23",4,"Main_Side",NA,"Coho",59,64,2.2,"Y","N",0,2021-06-15,166,"age-1"
329,"6/15/2021","25",6,"Main_Side",NA,"Coho",57,61,2.2,"Y","N",0,2021-06-15,166,"age-1"
330,"6/15/2021","26",6,"Main_Side",NA,"Coho",71,77,4.2,"Y","N",0,2021-06-15,166,"age-1"
335,"6/15/2021","31",7,"Main_Side",NA,"Coho",52,56,1.4,"Y","N",0,2021-06-15,166,"age-1"
336,"6/15/2021","32",7,"Main_Side",NA,"Coho",69,75,4,"Y","N",0,2021-06-15,166,"age-1"
346,"6/17/2021","1",1,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-17,168,"age-0"
347,"6/17/2021","2",1,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-17,168,"age-0"
348,"6/17/2021","3",1,"Main_Side",NA,"Coho",38,40,0.5,"N","N",0,2021-06-17,168,"age-0"
349,"6/17/2021","4",1,"Main_Side",NA,"Coho",34,35,0.4,"N","N",0,2021-06-17,168,"age-0"
350,"6/17/2021","5",1,"Main_Side",NA,"Coho",32,33,0.3,"N","N",0,2021-06-17,168,"age-0"
351,"6/17/2021","6",1,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-17,168,"age-0"
352,"6/17/2021","7",1,"Main_Side",NA,"Coho",35,36,0.4,"N","N",0,2021-06-17,168,"age-0"
353,"6/17/2021","8",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-17,168,"age-0"
354,"6/17/2021","9",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-17,168,"age-0"
355,"6/17/2021","10",1,"Main_Side",NA,"Coho",32,33,0.3,"N","N",0,2021-06-17,168,"age-0"
356,"6/17/2021","11",1,"Main_Side",NA,"Coho",35,36,0.4,"N","N",0,2021-06-17,168,"age-0"
357,"6/17/2021","12",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-17,168,"age-0"
358,"6/17/2021","13",1,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-17,168,"age-0"
359,"6/17/2021","14",1,"Main_Side",NA,"Coho",32,32,0.2,"N","N",0,2021-06-17,168,"age-0"
360,"6/17/2021","15",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-17,168,"age-0"
361,"6/17/2021","16",1,"Main_Side",NA,"Coho",34,35,0.2,"N","N",0,2021-06-17,168,"age-0"
362,"6/17/2021","17",1,"Main_Side",NA,"Coho",33,34,0.2,"N","N",0,2021-06-17,168,"age-0"
363,"6/17/2021","18",1,"Main_Side",NA,"Coho",35,36,0.3,"N","N",0,2021-06-17,168,"age-0"
364,"6/17/2021","19",1,"Main_Side",NA,"Coho",32,32,0.2,"N","N",0,2021-06-17,168,"age-0"
365,"6/17/2021","20",1,"Main_Side",NA,"Coho",34,35,0.3,"N","N",0,2021-06-17,168,"age-0"
366,"6/17/2021","21",1,"Main_Side",NA,"Coho",32,32,0.2,"N","N",0,2021-06-17,168,"age-0"
367,"6/17/2021","22",1,"Main_Side",NA,"Coho",32,33,0.2,"N","N",0,2021-06-17,168,"age-0"
368,"6/17/2021","23",1,"Main_Side",NA,"Coho",32,32,0.2,"N","N",0,2021-06-17,168,"age-0"
369,"6/17/2021","24",1,"Main_Side",NA,"Coho",69,75,3.4,"Y","N",0,2021-06-17,168,"age-1"
370,"6/17/2021","25",1,"Main_Side",NA,"Coho",52,56,1.5,"Y","N",0,2021-06-17,168,"age-1"
371,"6/17/2021","26",1,"Main_Side",NA,"Coho",59,64,2.1,"Y","N",0,2021-06-17,168,"age-1"
374,"6/17/2021","29",3,"Main_Side",NA,"Coho",59,64,2.5,"Y","N",0,2021-06-17,168,"age-1"
375,"6/17/2021","30",3,"Main_Side",NA,"Coho",67,73,3.3,"Y","N",0,2021-06-17,168,"age-1"
377,"6/17/2021","32",3,"Main_Side",NA,"Coho",59,65,2.4,"Y","N",0,2021-06-17,168,"age-1"
378,"6/17/2021","33",3,"Main_Side",NA,"Coho",70,76,4.1,"Y","N",0,2021-06-17,168,"age-1"
380,"6/17/2021","35",3,"Main_Side",NA,"Coho",76,83,5.7,"Y","N",0,2021-06-17,168,"age-1"
381,"6/17/2021","36",3,"Main_Side",NA,"Coho",80,86,6.1,"Y","N",0,2021-06-17,168,"age-1"
383,"6/17/2021","38",3,"Main_Side",NA,"Coho",73,78,4.1,"Y","N",0,2021-06-17,168,"age-1"
384,"6/17/2021","39",3,"Main_Side",NA,"Coho",77,83,5.3,"Y","N",0,2021-06-17,168,"age-1"
386,"6/17/2021","41",3,"Main_Side",NA,"Coho",63,68,3.5,"Y","N",0,2021-06-17,168,"age-1"
