"","year","date","doy","PIT_tag","Habitat","age_cluster","FL","TL","Weight","mean_Temp_C","mean_Flow_cms"
"204",2021,"2021-06-17",168,NA,"Main_Side","age-1",74,79,5.1,6.51708333333333,7.28674447463159
"205",2021,"2021-06-17",168,NA,"Main_Side","age-1",62,67,2.7,6.51708333333333,7.28674447463159
"206",2021,"2021-06-17",168,NA,"Main_Side","age-1",60,64,2.1,6.51708333333333,7.28674447463159
"207",2021,"2021-06-17",168,NA,"Seep","age-1",65,70,3.3,6.51708333333333,7.28674447463159
"208",2021,"2021-06-17",168,NA,"Seep","age-1",68,73,3.4,6.51708333333333,7.28674447463159
"209",2021,"2021-06-17",168,NA,"Seep","age-1",52,56,1.8,6.51708333333333,7.28674447463159
"210",2021,"2021-06-17",168,NA,"Seep","age-1",64,69,3.2,6.51708333333333,7.28674447463159
"211",2021,"2021-06-17",168,NA,"Seep","age-1",60,65,2.5,6.51708333333333,7.28674447463159
"212",2021,"2021-06-17",168,NA,"Seep","age-1",65,70,3.1,6.51708333333333,7.28674447463159
"213",2021,"2021-06-17",168,NA,"Seep","age-1",71,75,3.4,6.51708333333333,7.28674447463159
"214",2021,"2021-06-17",168,NA,"Seep","age-1",62,67,2.6,6.51708333333333,7.28674447463159
"215",2021,"2021-06-17",168,NA,"Seep","age-1",66,71,3.3,6.51708333333333,7.28674447463159
"216",2021,"2021-06-17",168,NA,"Seep","age-1",56,60,1.7,6.51708333333333,7.28674447463159
"217",2021,"2021-06-21",172,NA,"Main_Side","age-1",61,66,3,6.26458333333333,6.74782369618069
"218",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.4,6.26458333333333,6.74782369618069
"219",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.3,6.26458333333333,6.74782369618069
"220",2021,"2021-06-21",172,NA,"Main_Side","age-0",38,40,0.4,6.26458333333333,6.74782369618069
"221",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,36,0.3,6.26458333333333,6.74782369618069
"222",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,36,0.4,6.26458333333333,6.74782369618069
"223",2021,"2021-06-21",172,NA,"Main_Side","age-0",36,37,0.3,6.26458333333333,6.74782369618069
"224",2021,"2021-06-21",172,NA,"Main_Side","age-0",33,34,0.3,6.26458333333333,6.74782369618069
"225",2021,"2021-06-21",172,NA,"Main_Side","age-0",36,37,0.3,6.26458333333333,6.74782369618069
"226",2021,"2021-06-21",172,NA,"Main_Side","age-0",36,37,0.3,6.26458333333333,6.74782369618069
"227",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,36,0.3,6.26458333333333,6.74782369618069
"228",2021,"2021-06-21",172,NA,"Main_Side","age-0",37,38,0.4,6.26458333333333,6.74782369618069
"229",2021,"2021-06-21",172,NA,"Main_Side","age-0",32,33,0.3,6.26458333333333,6.74782369618069
"230",2021,"2021-06-21",172,NA,"Main_Side","age-0",32,32,0.2,6.26458333333333,6.74782369618069
"231",2021,"2021-06-21",172,NA,"Main_Side","age-0",36,37,0.4,6.26458333333333,6.74782369618069
"232",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,36,0.3,6.26458333333333,6.74782369618069
"233",2021,"2021-06-21",172,NA,"Main_Side","age-1",69,74,3.7,6.26458333333333,6.74782369618069
"234",2021,"2021-06-21",172,NA,"Main_Side","age-1",72,78,4.7,6.26458333333333,6.74782369618069
"235",2021,"2021-06-21",172,NA,"Main_Side","age-1",67,72,3.7,6.26458333333333,6.74782369618069
"236",2021,"2021-06-21",172,NA,"Main_Side","age-1",61,66,2.8,6.26458333333333,6.74782369618069
"237",2021,"2021-06-21",172,NA,"Main_Side","age-1",74,80,4.9,6.26458333333333,6.74782369618069
"238",2021,"2021-06-21",172,NA,"Main_Side","age-1",59,63,2.7,6.26458333333333,6.74782369618069
"239",2021,"2021-06-21",172,NA,"Main_Side","age-1",57,61,3.1,6.26458333333333,6.74782369618069
"240",2021,"2021-06-21",172,NA,"Main_Side","age-1",63,67,3.2,6.26458333333333,6.74782369618069
"241",2021,"2021-06-21",172,NA,"Main_Side","age-1",72,78,4.5,6.26458333333333,6.74782369618069
"242",2021,"2021-06-21",172,NA,"Main_Side","age-1",74,80,5.5,6.26458333333333,6.74782369618069
"243",2021,"2021-06-21",172,NA,"Main_Side","age-1",73,78,4.5,6.26458333333333,6.74782369618069
"244",2021,"2021-06-21",172,NA,"Main_Side","age-1",59,63,2.9,6.26458333333333,6.74782369618069
"245",2021,"2021-06-21",172,NA,"Main_Side","age-1",57,62,2.1,6.26458333333333,6.74782369618069
"246",2021,"2021-06-21",172,NA,"Main_Side","age-1",54,57,2,6.26458333333333,6.74782369618069
"247",2021,"2021-06-21",172,NA,"Main_Side","age-1",58,62,2.5,6.26458333333333,6.74782369618069
"248",2021,"2021-06-21",172,NA,"Main_Side","age-1",60,64,2.5,6.26458333333333,6.74782369618069
"249",2021,"2021-06-21",172,NA,"Main_Side","age-1",74,80,4.9,6.26458333333333,6.74782369618069
"250",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,36,0.3,6.26458333333333,6.74782369618069
"251",2021,"2021-06-21",172,NA,"Main_Side","age-0",36,37,0.3,6.26458333333333,6.74782369618069
"252",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.3,6.26458333333333,6.74782369618069
"253",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.3,6.26458333333333,6.74782369618069
"254",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,37,0.4,6.26458333333333,6.74782369618069
"255",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.3,6.26458333333333,6.74782369618069
"256",2021,"2021-06-21",172,NA,"Main_Side","age-0",34,35,0.3,6.26458333333333,6.74782369618069
"257",2021,"2021-06-21",172,NA,"Main_Side","age-0",33,34,0.3,6.26458333333333,6.74782369618069
"258",2021,"2021-06-21",172,NA,"Main_Side","age-0",35,36,0.3,6.26458333333333,6.74782369618069
"259",2021,"2021-06-21",172,NA,"Seep","age-1",63,67,3.4,6.26458333333333,6.74782369618069
"260",2021,"2021-06-21",172,NA,"Seep","age-1",64,69,2.8,6.26458333333333,6.74782369618069
